;0;1
53;http://www.journaldelenvironnement.net/article/plastique-finis-les-coton-tiges-et-les-exfoliants-au-plastique,75711;2016/10/17
54;http://www.journaldelenvironnement.net/article/l-odeur-des-dechets-plastique-marins-attire-les-poissons,85486;2017/08/22
55;http://www.journaldelenvironnement.net/article/le-kenya-sanctionne-lourdement-l-usage-des-sacs-plastique,85630;2017/08/29
56;http://www.journaldelenvironnement.net/article/le-plastique-est-partout-le-recyclage-quasiment-nulle-part,84823;2017/07/20
57;http://www.journaldelenvironnement.net/article/oceans-les-trois-quarts-des-plastiques-rejetes-par-20-fleuves,83548;2017/12/06
58;http://www.journaldelenvironnement.net/article/sacs-plastiques-legers-vers-une-definition-des-specifications-d-etiquetage-et-etude-sur-les-incidences-de-l-utilisation-de-sacs-en-plastique-oxodegradables,71610;2016/06/17
59;http://www.journaldelenvironnement.net/article/concentrations-en-brome-dans-les-plastiques-des-deee-rapport-de-l-ineris,81612;2017/04/14
60;http://www.journaldelenvironnement.net/article/dechets-haro-sur-les-sacs-en-plastique,82715;2017/05/15
61;http://www.journaldelenvironnement.net/article/premiere-cartographie-de-la-pollution-plastique-des-oceans,81606;2017/04/13
62;http://www.journaldelenvironnement.net/article/mise-en-uvre-de-l-interdiction-de-mise-sur-le-marche-des-produits-cosmetiques-et-des-cotons-tiges-contenant-du-plastique,80298;2017/09/03
63;http://www.journaldelenvironnement.net/article/micro-plastiques-plus-de-800-especes-marines-en-danger,77370;2016/12/13
64;http://www.journaldelenvironnement.net/article/madrid-veut-taxer-les-sacs-en-plastique,79650;2017/02/17
65;http://www.journaldelenvironnement.net/article/la-tunisie-dit-adieu-aux-sacs-en-plastique,80115;2017/02/03
66;http://www.journaldelenvironnement.net/article/yoyo-veut-reveiller-le-trieur-de-plastique-qui-sommeille-en-nous,79164;2017/06/02
67;http://www.journaldelenvironnement.net/article/les-oiseaux-de-mer-attires-par-l-odeur-des-micro-plastiques,76527;2016/10/11
68;http://www.journaldelenvironnement.net/article/unilever-promet-une-deuxieme-vie-aux-emballages-plastique,78180;2017/01/17
69;http://www.journaldelenvironnement.net/article/les-sacs-en-plastique-interdits-a-new-delhi,79209;2017/07/02
70;http://www.journaldelenvironnement.net/article/l-agglomeration-rouennaise-trie-tous-les-plastiques,75795;2016/10/18
71;http://www.journaldelenvironnement.net/article/sus-au-plastique-dans-les-cantines-strasbourgeoises,76029;2016/10/25
72;http://www.journaldelenvironnement.net/article/la-nouvelle-faune-de-nos-rivieres-est-en-plastique,75825;2016/10/19
73;http://www.journaldelenvironnement.net/article/interdiction-des-demaquillants-et-cotons-tiges-contenant-du-plastique-ouverture-d-une-consultation-publique,75771;2016/10/18
74;http://www.journaldelenvironnement.net/article/90-ong-imaginent-un-monde-sans-plastique,74559;2016/09/14
75;http://www.journaldelenvironnement.net/article/la-vaisselle-jetable-en-plastique-disparaitra-en-2020,74091;2016/08/31
76;http://www.journaldelenvironnement.net/article/londres-interdit-les-microbilles-en-plastique-des-cosmetiques,74241;2016/05/09
77;http://www.journaldelenvironnement.net/article/les-deputes-britanniques-veulent-supprimer-les-microbilles-en-plastique,73860;2016/08/24
78;http://www.journaldelenvironnement.net/article/interdiction-de-la-vaisselle-en-plastique-precisions-reglementaires,74124;2016/01/09
79;http://www.journaldelenvironnement.net/article/une-ong-veut-supprimer-le-dehp-du-plastique-recycle,73755;2016/08/22
80;http://www.journaldelenvironnement.net/article/fin-des-gobelets-verres-et-assiettes-jetables-en-matiere-plastique-projet-de-decret-en-cours-de-consultation,73452;2016/04/08
81;http://www.journaldelenvironnement.net/article/le-maroc-bannit-les-sacs-en-plastique,73320;2016/07/28
82;http://www.journaldelenvironnement.net/article/conditions-d-application-de-l-interdiction-de-mise-a-disposition-des-sacs-plastiques,69180;2016/06/04
83;http://www.journaldelenvironnement.net/article/orplast-pour-favoriser-l-utilisation-des-plastiques-recycles,66744;2016/03/02
84;http://www.journaldelenvironnement.net/article/conditions-d-application-de-limitation-de-mise-a-disposition-des-sacs-plastiques,68880;2016/01/04
85;http://www.journaldelenvironnement.net/article/plastiques-en-mer-la-sante-des-huitres-s-en-ressent,66678;2016/02/02
86;http://www.journaldelenvironnement.net/article/continents-de-plastique-par-ici-la-sortie,70368;2016/05/17
87;http://www.journaldelenvironnement.net/article/les-benefices-caches-de-la-fin-des-sacs-plastique,68853;2016/03/31
88;http://www.journaldelenvironnement.net/article/pekin-ferme-ses-frontieres-a-une-nouvelle-serie-de-dechets,94849;2018/11/19
89;http://www.journaldelenvironnement.net/article/microbilles-de-plastique-le-royaume-uni-evoque-leur-interdiction,70152;2016/09/05
90;http://www.journaldelenvironnement.net/article/plastiques-en-mer-mieux-vaut-agir-pres-des-cotes,66252;2016/01/20
91;http://www.journaldelenvironnement.net/article/microplastiques-vers-une-interdiction-partielle-de-l-ue-en-2020,95770;2019/01/21
92;http://www.journaldelenvironnement.net/article/une-bacterie-qui-mange-le-plastique,68199;2016/03/14
93;http://www.journaldelenvironnement.net/article/l-interdiction-des-sacs-plastique-a-usage-unique-en-france-repoussee-au-1er-juillet-2016,66711;2016/03/02
